,relationships,funding_rounds,funding_total_usd,log_funding_total_usd,milestones,log_milestones,avg_participants,log_avg_participants,age_funding_span,age_milestone_span,funding_duration_days,lifetime_days,relationships_per_round,milestones_per_year,funding_per_participant,is_top500,labels,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD
0,3.0,3,375000,12.834683971615659,3,1.3862943611198906,1.0,0.6931471805599453,0.7534000000000001,2.0356000000000005,275,1886.0,0.75,0.9882724996705756,187500.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,9.0,4,40100000,17.50688691721445,1,0.6931471805599453,4.75,1.749199854809259,4.871299999999999,0.0,1778,1886.0,1.8,1.0,6973913.043478261,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,5.0,1,2600000,14.77102238760702,2,1.0986122886681096,4.0,1.6094379124341003,0.0,0.7479999999999998,0,1886.0,2.5,1.1441647597254005,520000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,5.0,3,40000000,17.50439003707821,1,0.6931471805599453,3.3333,1.4663293764561487,2.1836,0.0,797,1886.0,1.25,1.0,9230840.237232596,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2.0,2,1300000,14.077875591662238,1,0.6931471805599453,1.0,0.6931471805599453,1.6685,0.0,609,1886.0,0.6666666666666666,1.0,650000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5,3.0,1,7500000,15.830413711839864,1,0.6931471805599453,3.0,1.3862943611198906,0.0,0.0,0,1886.0,1.5,1.0,1875000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6,6.0,3,26000000,17.073607134447293,2,1.0986122886681096,1.6667,0.980841752933602,3.4905000000000004,3.6082,1274,1886.0,1.5,0.43400894058417605,9749878.126523418,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
7,20.5,3,34100000,17.344807971579257,3,1.3862943611198906,3.5,1.5040773967762742,5.114999999999999,1.7561,1867,1886.0,6.0,1.0884946119516707,7577777.777777778,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
8,13.0,3,9650000,16.082468576942105,4,1.6094379124341003,4.0,1.6094379124341003,6.986375,1.9890000000000008,2550,1886.0,3.25,1.338240214118434,1930000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9,14.0,3,5750000,15.564710586686562,4,1.6094379124341003,1.0,0.6931471805599453,3.0137,3.1973,1100,1886.0,3.5,0.9529935911180997,2875000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
10,20.5,3,27500000,17.129696599000436,3,1.3862943611198906,1.0,0.6931471805599453,4.821899999999999,0.5151000000000003,1760,1886.0,5.5,1.7001493054629804,13750000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
11,8.0,5,10400000,16.15731646026544,2,1.0986122886681096,1.75,1.0116009116784799,4.252100000000001,5.2246,1552,1886.0,1.3333333333333333,0.32130578671721877,3781818.1818181816,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
12,0.0,1,350000,12.765691290604371,0,0.0,1.0,0.6931471805599453,0.0,0.0,0,1886.0,0.0,0.0,175000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,15.0,3,9950000,16.11308320963728,3,1.3862943611198906,2.3333,1.2039628042759356,2.4164,3.5835999999999997,882,1886.0,3.75,0.6545073741164151,2985029.850298503,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
14,12.0,5,10700000,16.185754392890075,1,0.6931471805599453,2.5,1.252762968495368,4.331499999999999,0.0,1581,1886.0,2.0,1.0,3057142.8571428573,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
15,0.0,1,200000,12.206077645517674,0,0.0,1.0,0.6931471805599453,0.0,0.0,0,1886.0,0.0,0.0,100000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
16,8.0,5,49000000,17.707330876483063,1,0.6931471805599453,3.5,1.5040773967762742,4.178100000000001,0.0,1525,1886.0,1.3333333333333333,1.0,10888888.888888888,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
17,7.0,4,25000000,17.034386422832473,3,1.3862943611198906,3.5,1.5040773967762742,2.5808,5.465625000000001,942,1886.0,1.4,0.21159393712838814,5555555.555555556,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
18,10.0,3,4575000,15.336117475270969,3,1.3862943611198906,5.0,1.791759469228055,0.8382999999999999,1.7178,306,1886.0,2.5,1.1038339833689013,762500.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
19,13.0,2,28000000,17.147715103853763,3,1.3862943611198906,1.0,0.6931471805599453,0.3287,0.40549999999999997,120,1886.0,4.333333333333333,1.7001493054629804,14000000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
20,8.0,2,4355000,15.286835397889838,3,1.3862943611198906,1.5,0.9162907318741551,1.5726000000000004,5.4109,574,1886.0,2.6666666666666665,0.4679530175170413,1742000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21,3.0,1,15000000,16.52356082573315,1,0.6931471805599453,2.0,1.0986122886681096,0.0,0.0,0,1886.0,1.5,1.0,5000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22,1.0,1,3170000,14.969242461310827,1,0.6931471805599453,2.0,1.0986122886681096,0.0,0.0,0,1886.0,0.5,1.0,1056666.6666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
